Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
5/20/08,18.01,0.65,3.744239631,,,,,,,,,
5/19/08,17.36,0.48,2.843601896,,,,,,,,,
5/16/08,16.88,0.03,0.178041543,,,,,,,,,
5/15/08,16.85,-1.8,-9.651474531,,,,,,,,,
5/14/08,18.65,-0.27,-1.427061311,,,,,,,,,
5/13/08,18.92,-0.07,-0.368615061,,,,,,,,,
5/12/08,18.99,-0.73,-3.701825558,,,,,,,,,
5/9/08,19.72,0,0,,,,,,,,,
5/8/08,19.72,-0.2,-1.004016064,,,,,,,,,
5/7/08,19.92,1.41,7.617504052,,,,,,,,,
5/6/08,18.51,-0.54,-2.834645669,,,,,,,,,
5/5/08,19.05,0.73,3.984716157,,,,,,,,,
5/2/08,18.32,-0.86,-4.483837331,,,,,,,,,
5/1/08,19.18,-1.64,-7.877041306,,,,,,,,,
4/30/08,20.82,0.31,1.511457825,,,,,,,,,
4/29/08,20.51,0.76,3.848101266,,,,,,,,,
4/28/08,19.75,0.11,0.560081466,,,,,,,,,
4/25/08,19.64,-0.42,-2.093718843,,,,,,,,,
4/24/08,20.06,-0.56,-2.715809893,,,,,,,,,
4/23/08,20.62,-0.1,-0.482625483,,,,,,,,,
4/22/08,20.72,0.18,0.876338851,,,,,,,,,
4/21/08,20.54,0.51,2.546180729,,,,,,,,,
4/18/08,20.03,-0.46,-2.24499756,,,,,,,,,
4/17/08,20.49,-0.02,-0.097513408,,,,,,,,,
4/16/08,20.51,-2.44,-10.63180828,,,,,,,,,
4/15/08,22.95,-1.08,-4.494382022,,,,,,,,,
4/14/08,24.03,0.44,1.865197117,,,,,,,,,
4/11/08,23.59,1.44,6.501128668,,,,,,,,,
4/10/08,22.15,-0.83,-3.611836379,,,,,,,,,
4/9/08,22.98,0.61,2.726866339,,,,,,,,,
4/8/08,22.37,-0.27,-1.192579505,,,,,,,,,
4/7/08,22.64,0.11,0.488237905,,,,,,,,,
4/4/08,22.53,-0.78,-3.346203346,,,,,,,,,
4/3/08,23.31,-0.02,-0.085726532,,,,,,,,,
4/2/08,23.33,0.54,2.36946029,,,,,,,,,
4/1/08,22.79,-2.93,-11.39191291,,,,,,,,,
3/31/08,25.72,-0.06,-0.232738557,,,,,,,,,
3/28/08,25.78,-0.19,-0.7316134,,,,,,,,,
3/27/08,25.97,-0.07,-0.268817204,,,,,,,,,
3/26/08,26.04,0.16,0.618238022,,,,,,,,,
3/25/08,25.88,0.08,0.310077519,,,,,,,,,
3/24/08,25.8,-1.18,-4.373610082,,,,,,,,,
3/20/08,26.98,-2.98,-9.946595461,,,,,,,,,
3/19/08,29.96,3.83,14.65748182,,,,,,,,,
3/18/08,26.13,-5.9,-18.42023103,,,,,,,,,
3/17/08,32.03,0.42,1.328693451,,,,,,,,,
3/14/08,31.61,4.22,15.40708288,,,,,,,,,
3/13/08,27.39,0.04,0.146252285,,,,,,,,,
3/12/08,27.35,0.98,3.716344331,,,,,,,,,
3/11/08,26.37,-3.1,-10.51917204,,,,,,,,,
3/10/08,29.47,1.85,6.698044895,,,,,,,,,
3/7/08,27.62,-0.2,-0.718907261,,,,,,,,,
3/6/08,27.82,2.82,11.28,,,,,,,,,
3/5/08,25,-1.14,-4.361132364,,,,,,,,,
3/4/08,26.14,-0.4,-1.507159005,,,,,,,,,
3/3/08,26.54,-0.06,-0.22556391,,,,,,,,,
2/29/08,26.6,2.72,11.39028476,,,,,,,,,
2/28/08,23.88,0.91,3.96168916,,,,,,,,,
2/27/08,22.97,0.47,2.088888889,,,,,,,,,
2/26/08,22.5,-0.97,-4.132935663,,,,,,,,,
2/25/08,23.47,-1.04,-4.243166055,,,,,,,,,
2/22/08,24.51,-1.11,-4.332552693,,,,,,,,,
2/21/08,25.62,0.63,2.521008403,,,,,,,,,
2/20/08,24.99,-1.01,-3.884615385,,,,,,,,,
2/19/08,26,0.1,0.386100386,,,,,,,,,
2/15/08,25.9,-0.5,-1.893939394,,,,,,,,,
2/14/08,26.4,0.62,2.404965089,,,,,,,,,
2/13/08,25.78,-1.5,-5.498533724,,,,,,,,,
2/12/08,27.28,-0.88,-3.125,,,,,,,,,
2/11/08,28.16,-0.61,-2.120264164,,,,,,,,,
2/8/08,28.77,0.51,1.804670913,,,,,,,,,
2/7/08,28.26,-1.16,-3.942895989,,,,,,,,,
2/6/08,29.42,0.62,2.152777778,,,,,,,,,
2/5/08,28.8,2.25,8.474576271,,,,,,,,,
2/4/08,26.55,1.8,7.272727273,,,,,,,,,
2/1/08,24.75,-2.17,-8.060921248,,,,,,,,,
1/31/08,26.92,-1.3,-4.606661942,,,,,,,,,
1/30/08,28.22,0.45,1.620453727,,,,,,,,,
1/29/08,27.77,-0.24,-0.856836844,,,,,,,,,
1/28/08,28.01,-1.54,-5.211505922,,,,,,,,,
1/25/08,29.55,1.43,5.085348506,,,,,,,,,
1/24/08,28.12,-0.89,-3.067907618,,,,,,,,,
1/23/08,29.01,-1.95,-6.298449612,,,,,,,,,
1/22/08,30.96,3.36,12.17391304,,,,,,,,,
1/18/08,27.6,-0.67,-2.370003537,,,,,,,,,
1/17/08,28.27,3.68,14.9654331,,,,,,,,,
1/16/08,24.59,0.94,3.974630021,,,,,,,,,
1/15/08,23.65,0.59,2.558542931,,,,,,,,,
1/14/08,23.06,-0.95,-3.956684715,,,,,,,,,
1/11/08,24.01,0.32,1.35078092,,,,,,,,,
1/10/08,23.69,-0.47,-1.945364238,,,,,,,,,
1/9/08,24.16,-1.33,-5.217732444,,,,,,,,,
1/8/08,25.49,1.65,6.92114094,,,,,,,,,
1/7/08,23.84,-0.35,-1.446878876,,,,,,,,,
1/4/08,24.19,1.59,7.03539823,,,,,,,,,
1/3/08,22.6,-0.65,-2.795698925,,,,,,,,,
1/2/08,23.25,0.66,2.921646746,,,,,,,,,
12/31/07,22.59,1.69,8.086124402,,,,,,,,,
12/28/07,20.9,0.64,3.15893386,,,,,,,,,
12/27/07,20.26,1.43,7.594264472,,,,,,,,,
12/26/07,18.83,0.14,0.74906367,,,,,,,,,
12/24/07,18.69,-0.01,-0.053475936,,,,,,,,,
12/21/07,18.7,-1.96,-9.486931268,,,,,,,,,
12/20/07,20.66,-1.07,-4.924068109,,,,,,,,,
12/19/07,21.73,-1.38,-5.971440935,,,,,,,,,
